ID;Titolo;Corpo;Reparto;Sentiment
1;Servizio lento;I camerieri erano cortesi ma il servizio era lentissimo. Abbiamo aspettato 20 minuti per il conto.;F&B;Negativo
2;Lasagna fredda;La lasagna è arrivata ghiacciata al centro. Immangiabile.;F&B;Negativo
3;Terrazza solarium perfetta;La terrazza solarium era attrezzata con lettini, docce e un bar. Pulita e ordinata. Vista spettacolare.;Housekeeping;Positivo
4;Materasso scomodo;Il materasso era troppo morbido e mi ha fatto male alla schiena. Personale comunque gentile.;Housekeeping;Negativo
5;Reception maleducata;La ragazza alla reception è stata molto maleducata e disinteressata quando chiedevo informazioni.;Reception;Negativo
6;Torte artigianali buonissime;Le torte da forno a colazione erano fatte in casa con ricette tradizionali. Si scioglievano in bocca.;F&B;Positivo
7;Tisane biologiche;Vasta scelta di tisane e infusi biologici in camera e a colazione. Ottima varietà.;F&B;Positivo
8;Scambio teli mare rapido;Servizio di scambio teli mare rapidissimo. Personale efficiente e con il sorriso.;Reception;Positivo
9;Troppo rumore;L'hotel è molto rumoroso. Pareti sottili, si sente ogni rumore. Difficile prendere sonno.;Housekeeping;Negativo
10;Cena buona ma attesa lunga;Piatti gustosi ma attesa eccessiva tra le portate. Quasi un'ora tra antipasto e primo.;F&B;Negativo
11;Poca luce in camera;L'illuminazione artificiale era scarsa e cupa. Ambiente poco piacevole.;Housekeeping;Negativo
12;Nessuna informazione al check-in;Non ci hanno dato informazioni su orari e servizi. Ci siamo sentiti abbandonati.;Reception;Negativo
13;Mappa interattiva utile;Ci hanno dato accesso a una mappa interattiva della città. Utilissima e innovativa.;Reception;Positivo
14;Camera polverosa;Sotto il letto c'era polvere e ragnatele. Pulizia superficiale e sciatta.;Housekeeping;Negativo
15;Carne tenerissima;Tagliata di manzo cotta alla perfezione. Super.;F&B;Positivo
16;Disguido risolto rapidamente;Hanno risolto un problema con la prenotazione in pochi minuti. Professionali.;Reception;Positivo
17;Camere pulitissime;Camera sempre in ordine e profumata. Pulizia maniacale di ogni angolo.;Housekeeping;Positivo
18;Cameriere maleducato;Il cameriere è stato incredibilmente maleducato. Ci ha quasi insultati.;F&B;Negativo
19;Nessun cestino in camera;Nella camera non c'era alcun cestino per i rifiuti. Assurdo.;Housekeeping;Negativo
20;Cameriere distratto;Il cameriere ha dimenticato la nostra ordinazione. Abbiamo aspettato un'ora.;F&B;Negativo
21;Lenzuola di lino pregiato;Lenzuola di lino pregiato, fresche e morbidissime. Un lusso silenzioso.;Housekeeping;Positivo
22;Moquette vecchia;Camera pulita ma moquette vecchia e macchiata. Andrebbe sostituita.;Housekeeping;Negativo
23;Cameriere che dormiva;Durante la cena un cameriere sonnecchiava al tavolo. Professionalità zero.;F&B;Negativo
24;Piatti al tartufo sublimi;Tagliolini al tartufo bianco sublimi. Esperienza culinaria di altissimo livello.;F&B;Positivo
25;Camerieri disorganizzati;Camerieri sorridenti ma disorganizzati. Portavano piatti ai tavoli sbagliati.;F&B;Negativo
26;Temperatura personalizzata;Ci chiedevano se volevamo regolare la temperatura. Piccola attenzione gradita.;Housekeeping;Positivo
27;Scarico lento;Bagno ristrutturato ma scarico del lavandino lentissimo. Difetto di installazione.;Housekeeping;Negativo
28;Bufala cruda;Bufala completamente cruda e dura. Rimandata indietro, tornata bruciacchiata.;F&B;Negativo
29;Reception impersonale;Check-in efficiente ma atmosfera fredda e impersonale. Poco calore umano.;Reception;Negativo
30;Ascensore rotto;Ascensore rotto. Abbiamo dovuto fare quattro piani a piedi.;Reception;Negativo
31;Polvere e allergia;Dopo poche ore in camera abbiamo iniziato a starnutire per la polvere. Vacanza rovinata.;Housekeeping;Negativo
32;Mancanza di insonorizzazione;Pareti di carta. Si sentivano i vicini russare. Impossibile dormire.;Housekeeping;Negativo
33;Check-in lento;Reception gentile ma check-in lentissimo. Computer lento e si bloccava.;Reception;Negativo
34;Dolci fantastici;Il buffet dei dessert è da perdere la testa. Ancora l'acquolina in bocca.;F&B;Positivo
35;Attenti alle intolleranze;Sono celiaco, mi hanno seguito in modo impeccabile. Ho mangiato in sicurezza.;F&B;Positivo
36;Profumatore in camera;Delicato profumatore d'ambiente con fragranza agrumata. Atmosfera accogliente.;Housekeeping;Positivo
37;Consigli preziosi;I ragazzi della reception ci hanno consigliato escursioni meravigliose. Hanno prenotato tutto.;Reception;Positivo
38;Aroma piacevole;La stanza aveva un buonissimo odore quando siamo entrati.;Housekeeping;Positivo
39;Procedure lente;Personale educato ma procedure lentissime. Troppi moduli da firmare.;Reception;Negativo
40;Consigli utili;Le dritte dello staff ci hanno fatto risparmiare tempo e soldi.;Reception;Positivo
41;Mongolfiera prenotata;Ci hanno prenotato un'esperienza in mongolfiera. Indimenticabile.;Reception;Positivo
42;Doppia prenotazione;Avevamo prenotato due camere, ce n'era una sola. Nessuna soluzione.;Reception;Negativo
43;Colazione buona;Colazione ottima con molte scelte. Check-in lento ma camera pulita.;Reception;Negativo
44;Pane fatto in casa;Pane e lievitati fragranti, appena sfornati. Davvero squisiti.;F&B;Positivo
45;Personale fantastico;Tutto lo staff della reception fantastico. Sempre con il sorriso.;Reception;Positivo
46;Omaggio di benvenuto;Frutta fresca, vino e biglietto per la luna di miele. Commovente.;Reception;Positivo
47;Cocktail eccezionali;Cocktail opere d'arte. Barman professionali e simpatici. Serate meravigliose.;F&B;Positivo
48;Aria condizionata silenziosa;Climatizzazione silenziosissima e regolabile. Ha fatto la differenza.;Housekeeping;Positivo
49;Cuscini extra;Nell'armadio cuscini extra di diverse altezze. Coperta di pile morbida.;Housekeeping;Positivo
50;Gelato allo yogurt;Ottimo gelato allo yogurt con frutta fresca. Delizia leggera e sana.;F&B;Positivo
51;Bidet rotto;Camera pulita ma bidet rotto e non funzionante. Sembrava rotto da tempo.;Housekeeping;Negativo
52;Macchie sul divano;Camera pulita ma divano con macchie evidenti. Andrebbe pulito.;Housekeeping;Negativo
53;Esperienza da ripetere;È stata un'esperienza da ripetere. Tornerò sicuramente.;Reception;Positivo
54;Poca scelta per intolleranti;Pochissime opzioni per intolleranti al lattosio. Mi aspettavo di più.;F&B;Negativo
55;Nessuna assistenza bagagli;Nessuno ci ha aiutato con le valigie. Informazioni sbagliate sul centro.;Reception;Negativo
56;Letto comodissimo;Ho dormito molto bene. Materasso di qualità eccellente.;Housekeeping;Positivo
57;Ottima esperienza;Livello ottimo, prezzo giustificato. Esperienza positiva.;Reception;Positivo
58;Pranzo veloce e buono;Pranzo veloce ma di qualità. Panini gourmet e servizio rapidissimo.;F&B;Positivo
59;Vetri sporchi;Vetri delle finestre sporchissimi. Non si vedeva fuori.;Housekeeping;Negativo
60;Tovaglie di stoffa;Tovaglie e tovaglioli di stoffa pulitissimi. Segno di classe.;F&B;Positivo
61;Prezzi diversi;Prezzi del menu diversi da quelli esposti al conto. Piccola truffa.;F&B;Negativo
62;Coperte puzzolenti;Camera non fumatori ma coperte puzzavano di fumo. Odore persistente.;Housekeeping;Negativo
63;Camera non pronta;Camera non pronta all'orario del check-in. Due ore di attesa in hall.;Reception;Negativo
64;Rastrelliera bici custodita;Locale chiuso e custodito per le bici. Servizio non scontato.;Reception;Positivo
65;Gentilezza unica;Ci hanno prenotato il ristorante fuori con estrema cura. Gentilissimi.;Reception;Positivo
66;Pesce crudo eccellente;Pesce crudo di freschezza straordinaria. Ostriche e tartare divine.;F&B;Positivo
67;Supporto medico;Hanno chiamato subito un pediatra per nostro figlio. Professionali e umani.;Reception;Positivo
68;Sdraio rotte;Piscina bella ma sdraio rotte e cuscini sporchi. Bisogna prenotare presto.;Reception;Negativo
69;Silenzio assoluto;Isolamento acustico eccellente. Non si sentiva nessun rumore.;Housekeeping;Positivo
70;Pulizia impeccabile;Non ho trovato un granello di polvere nemmeno negli angoli.;Housekeeping;Positivo
71;Puzza nei corridoi;Nei corridoi c'era puzzo di fritto e di fumo. Sgradevole.;Housekeeping;Negativo
72;Mancanza carta igienica;In bagno non c'era carta igienica. Governante non aveva controllato.;Housekeeping;Negativo
73;Vino versato addosso;Cameriere maldestro mi ha versato vino addosso. Non si è scusato.;F&B;Negativo
74;Doccia intasata;Camera silenziosa ma doccia intasata. Si allagava tutto il bagno.;Housekeeping;Negativo
75;Arredamento elegante;Camera arredata con gusto moderno e raffinato. Molto funzionale.;Housekeeping;Positivo
76;Camerieri distratti;Abbiamo chiesto l'acqua tre volte prima di riceverla. Distratti.;F&B;Negativo
77;Dispenser vuoto;Il dispenser della doccia era completamente vuoto. Nessun sapone.;Housekeeping;Negativo
78;Ristoranti vegetariani;Ci hanno dato lista di ristoranti vegetariani. Hanno prenotato per noi.;Reception;Positivo
79;Pasta scotta;Pasta scotta e collosa. Condimento scarso. Pessima esperienza.;F&B;Negativo
80;Giardino curato;Giardino curato come un gioiello. Piante rigogliose e fiori colorati.;Housekeeping;Positivo
81;Bevande fredde;A colazione latte freddo e tè non bollente. Servizio scadente.;F&B;Negativo
82;Colazione povera;Poca scelta e cornetti surgelati di bassa qualità. Deludente.;F&B;Negativo
83;Stanza fresca;Climatizzazione perfetta e silenziosa. Stanza fresca al punto giusto.;Housekeeping;Positivo
84;Prodotti senza glutine;Selezione di prodotti senza glutine a colazione. Chef veniva a illustrarli.;F&B;Positivo
85;Polvere sotto il letto;Camera spaziosa ma polvere sotto il letto. Ciabatta dimenticata.;Housekeeping;Negativo
86;Cioccolatini in omaggio;Ci hanno fatto trovare dei cioccolatini sul letto. Gradito.;Housekeeping;Positivo
87;Tende strappate;Tende sporche, strappate e bucate. Aspetto sciatto.;Housekeeping;Negativo
88;Accoglienza calorosa;Il portiere ci ha accolti con un sorriso enorme. Ottima accoglienza.;Reception;Positivo
89;Barman simpatici;I ragazzi dei cocktail sono simpaticissimi. Personale del bar fantastico.;F&B;Positivo
90;Filtri dell'aria puliti;Prese d'aria e filtri pulitissimi. Aria più salubre.;Housekeeping;Positivo
91;Gelato artigianale;Gelato artigianale semplicemente divino. Cremoso e gustoso.;F&B;Positivo
92;Porta chiusa la sera;Rientrati tardi, portone chiuso. Nessuno ci ha aperto per mezz'ora.;Reception;Negativo
93;Rumore dallo scarico;Lo sciacquone del bagno faceva un rumore continuo. Fastidioso.;Housekeeping;Negativo
94;Pasta squisita;I primi sono il punto forte del ristorante. Pasta squisita.;F&B;Positivo
95;Pizza forno a legna;Pizze cotte nel forno a legna. Sottili, croccanti, ingredienti freschi.;F&B;Positivo
96;Eventi locali;Ci hanno informato di sagra e concerto. Esperienze autentiche.;Reception;Positivo
97;Dolci secchi;Dolci vecchi di giorni, secchi e gommosi. Frutta acerba.;F&B;Negativo
98;Ricordavano i nostri nomi;Personale ci chiamava sempre per nome. Familiarità rispettosa.;Reception;Positivo
99;Frigo rumoroso;Frigo bar rumoroso. Ho dovuto staccare la spina per dormire.;Housekeeping;Negativo
100;Difficoltà di comunicazione;Personale alla reception non parlava italiano. Comunicazione difficoltosa.;Reception;Negativo
101;Ristorante migliore;Il ristorante migliore in cui abbia mai mangiato. Piatti squisiti.;F&B;Positivo
102;Insonorizzazione ok;Nonostante vicini rumorosi, in camera c'era pace. Buona insonorizzazione.;Housekeeping;Positivo
103;Cocktail annacquati;Cocktail annacquati e bicchieri sporchi. Prezzi assurdi.;F&B;Negativo
104;Frutta fresca;Tagliata di frutta varia e dolcissima ogni mattina. Ottima.;F&B;Positivo
105;Nessuno aiuta con valigie;Nessuno ci ha aiutato a scaricare le valigie. Assistenza inesistente.;Reception;Negativo
106;Supporto volo cancellato;Volo cancellato, reception ci ha aiutato a trovare alternative. Calma e competenza.;Reception;Positivo
107;Arredamento moderno;Camera davvero bellissima e curata nei dettagli. Moderna.;Housekeeping;Positivo
108;Piatti freddi;Piatti freddi e salse acide. Cucina scadente.;F&B;Negativo
109;Check-in online;Check-in online velocissimo. Ritirate le chiavi in un minuto.;Reception;Positivo
110;Orari check-out errati;Ci hanno detto check-out alle 11 ma era alle 10. Hanno fatto pagare extra.;Reception;Negativo
111;Nessun kit di cortesia;In bagno nessun kit di cortesia. Nemmeno una cuffia.;Housekeeping;Negativo
112;Polvere sulle tende;Se soffrite di allergia, attenti alla polvere sulle tende.;Housekeeping;Negativo
113;Reception 24 ore;Reception attiva 24 ore. Arrivati in piena notte, accoglienza perfetta.;Reception;Positivo
114;Personale gentile;La ragazza alla reception è stata gentilissima. Molto carina.;Reception;Positivo
115;Servizio impeccabile;Ho macchiato il cuscino di sangue. Personale gentilissimo.;Housekeeping;Positivo
116;Camera piccola;Parcheggio comodo ma camera molto piccola. Appena lo spazio per il letto.;Housekeeping;Negativo
117;Pasta fresca;Pasta fresca fatta in casa. Leggera e saporita. Unica.;F&B;Positivo
118;Cuscini ipoallergenici;Materassi e cuscini ipoallergenici. Non ho avuto allergie.;Housekeeping;Positivo
119;Portineria eccellente;Servizio di portineria eccellente. Hanno prenotato taxi e spettacoli.;Reception;Positivo
120;Marmellata eccezionale;Marmellata di lamponi eccezionale. Mai assaggiata una così.;F&B;Positivo
121;Frutta marcia;Cestino di benvenuto con frutta marcia e ammuffita. Pessima figura.;Housekeeping;Negativo
122;Prenotazione persa;Prenotazione al ristorante persa. Abbiamo aspettato invano un'ora.;Reception;Negativo
123;Terrazza vista mare;Ampia terrazza privata con vista spettacolare sul mare. Paradiso.;Housekeeping;Positivo
124;Verdure marce;Antipasto con verdure marce e immangiabili. Rischio per la salute.;F&B;Negativo
125;Troppe scale;Mancano rampe per i bagagli in alcuni punti. Troppe scale.;Reception;Negativo
126;Servizio lento;Servizio del ristorante lento. Attese più del previsto.;F&B;Negativo
127;Asciugamani non cambiati;Nonostante richiesta, asciugamani non cambiati per tre giorni.;Housekeeping;Negativo
128;Professionalità;Sono rimasta colpita dalla professionalità del personale. Gestione eccellente.;Reception;Positivo
129;Sala nel caos;Tavoli non sparecchiati, bicchieri sporchi ovunque. Caos totale.;F&B;Negativo
130;Porzioni piccole;Cena buona ma porzioni troppo piccole. Siamo usciti con fame.;F&B;Negativo
131;Cestino prodotti locali;Cestino con prodotti tipici locali. Olio, miele e confetture artigianali.;Housekeeping;Positivo
132;Mai riforniti;Carta igienica e bagnoschiuma mai riforniti. Disagio continuo.;Housekeeping;Negativo
133;Macchie di umidità;Macchie di umidità nera sui muri. Odore di muffa persistente.;Housekeeping;Negativo
134;Informazione sbagliata;Personale sorridente ma informazione sbagliata sulla piscina. Chiusa.;Reception;Negativo
135;Odore di fumo;Vista mozzafiato ma odore di fumo dalla camera sottostante.;Housekeeping;Negativo
136;Caffè buonissimo;Finalmente un espresso degno di questo nome a colazione.;F&B;Positivo
137;Mappa personalizzata;Mappa della città personalizzata con il nostro nome. Utilissima.;Reception;Positivo
138;Oggetto dimenticato;Check-out rapido ma abbiamo dimenticato un oggetto. L'hanno buttato.;Reception;Negativo
139;Area bambini;Area dedicata ai bambini in sala da pranzo. Family-friendly.;F&B;Positivo
140;Pasta con le sarde;Pasta con le sarde memorabile. Profumo di finocchietto selvatico.;F&B;Positivo
141;Colonnine elettriche;Parcheggio con colonnine per auto elettriche. Fondamentale per noi.;Reception;Positivo
142;Babysitting in camera;Servizio di babysitting in camera. Abbiamo cenato tranquilli.;Reception;Positivo
143;Accoglienza calorosa;Ci siamo sentiti subito a casa. Accoglienza calorosa.;Reception;Positivo
144;Informazioni trasporti;Informazioni puntuali su orari di bus e treni. Fondamentali.;Reception;Positivo
145;Caffè freddo;Buffet vario ma caffè freddo e annacquato. Peccato.;F&B;Negativo
146;Spiedini di pesce;Spiedini di pesce alla griglia freschissimi. Cotti alla perfezione.;F&B;Positivo
147;Illuminazione studiata;Illuminazione della camera studiata perfettamente. Punti luce differenziati.;Housekeeping;Positivo
148;Aperitivo super;Stuzzichini abbondanti e drink preparati con cura. Ottimo.;F&B;Positivo
149;Cuscino ignorato;Richiesta di cuscino extra completamente ignorata. Mai arrivato.;Reception;Negativo
150;Shampoo rotto;Dispenser dello shampoo rotto, usciva solo acqua. Mai sostituito.;Housekeeping;Negativo
151;Piscina pulitissima;Area relax curata nei minimi dettagli. Piscina pulitissima.;Housekeeping;Positivo
152;Nessuno aiuta alla partenza;Nessuno ci ha aiutato con i bagagli alla partenza. Scarsa umanità.;Reception;Negativo
153;Traduzione documento;Ci hanno tradotto un documento gratuitamente. Disponibilità inestimabile.;Reception;Positivo
154;Nessun benvenuto;In camera nessuna bottiglia d'acqua di benvenuto. Accoglienza fredda.;Housekeeping;Negativo
155;Esperienza da 5 stelle;Tutto è andato oltre le nostre aspettative. Esperienza da 5 stelle.;Reception;Positivo
156;Zuppa di pesce;Zuppa di pesce spettacolare. Ricca di pesce freschissimo.;F&B;Positivo
157;Servizio lentissimo;Servizio al tavolo lentissimo. 40 minuti per ordinare. Pessimo.;F&B;Negativo
158;Acqua calda non arriva;Per una doccia calda abbiamo lasciato scorrere 20 minuti. Tiepida.;Housekeeping;Negativo
159;Tende rotte;Tende rotte, non chiudevano bene. Nessuna privacy.;Housekeeping;Negativo
160;Cameriere ci ha fatto fretta;Cameriere ci ha fatto fretta perché doveva chiudere. Ci ha cacciati via.;F&B;Negativo
161;Tende oscuranti;Tende oscuranti totali che bloccavano la luce. Dormito fino a tardi.;Housekeeping;Positivo
162;Vino caldo;Vino della casa buono ma servito troppo caldo. Bianco a temperatura ambiente.;F&B;Negativo
163;Tavolo instabile;Il tavolo del ristorante ha ballato per tutto il tempo. Scomodo.;F&B;Negativo
164;Aree comuni pulite;Hall, corridoi e scale sempre in condizioni impeccabili. Pulizia costante.;Housekeeping;Positivo
165;Tende rotte;Armadio spazioso ma tende rotte. Entrava luce dal mattino.;Housekeeping;Negativo
166;Lenzuola ruvide;Asciugamani morbidi ma lenzuola ruvide. Sembravano di bassa qualità.;Housekeeping;Negativo
167;Ristorante ottimo;Ristorante ottimo ma conto errato di 20 euro. Discusso per farcelo togliere.;F&B;Negativo
168;Conto gonfiato;Conto con voci non ordinate. Discussione animata per toglierle.;F&B;Negativo
169;Assistenza tecnica;Problemi con il wifi. Tecnico arrivato in pochi minuti. Risolto.;Reception;Positivo
170;Check-in veloce;Check-in veloce e puntuale. Personale gentilissimo.;Reception;Positivo
171;Taxi prenotato;Hanno prenotato taxi per aeroporto. Tariffa fissa concordata.;Reception;Positivo
172;Parcheggio custodito;Parcheggio interno custodito e gratuito. Rarità.;Reception;Positivo
173;Vetri sporchi;Vista mare stupenda ma vetri sporchi. Rovinavano la visuale.;Housekeeping;Negativo
174;Lenzuola ruvide;Materasso memory comodo ma lenzuola ruvide. Davano fastidio.;Housekeeping;Negativo
175;Profumo di pulito;Delicato profumo di pulito e fresco in tutto l'hotel. Benessere.;Housekeeping;Positivo
176;Tagliere salumi;Tagliere di formaggi e salumi locali ricco e di qualità eccelsa.;F&B;Positivo
177;Cibo freddo;Buffet ricco ma uova e pancake freddi. Stavano lì da un po'.;F&B;Negativo
178;Personale educato;Personale veramente educato nonostante le nostre ripetute richieste.;Reception;Positivo
179;Wi-Fi non funzionante;Wi-Fi non funzionante in camera. Segnale debolissimo.;Reception;Negativo
180;Pavimento bagnato;Pavimento bagnato non segnalato. Rischiai di scivolare.;Housekeeping;Negativo
181;Acqua fredda;La doccia non diventava mai calda. Acqua sempre fredda.;Housekeeping;Negativo
182;Cibo mischiato;Pinze pochissime, gente mischiava tutto con le mani. Poco igienico.;F&B;Negativo
183;Asciugacapelli professionale;Asciugacapelli professionale, potente e silenzioso. Un lusso.;Housekeeping;Positivo
184;Buffet antipasti;Buffet di antipasti incredibile per varietà e qualità. Fantastico.;F&B;Positivo
185;Portate mancanti;Si sono scordati di portarci le patate fritte ordinate.;F&B;Negativo
186;Cena mediocre;Cena mediocre, servizio lentissimo. Piatto scotto e insapore.;F&B;Negativo
187;Prezzi folli;5 euro per un'acqua piccola al minibar. Un furto.;F&B;Negativo
188;Macchie di unto;Pareti piene di macchie di unto e ditate. Poco curato.;Housekeeping;Negativo
189;Dimenticanze;Pulizie giornaliere ma spesso dimenticavano l'acqua. Piccole dimenticanze.;Housekeeping;Negativo
190;Caffè orribile;Caffè annacquato e freddo. Uova stoppose e pancetta secca.;F&B;Negativo
191;Atmosfera da stadio;Alla sera persone urlavano e facevano rumore. Personale dovrebbe intervenire.;Reception;Negativo
192;Vino ottimo;Vino della casa di ottima qualità. Saporito e di carattere.;F&B;Positivo
193;Nessuna informazione piscina;Nessuno sapeva dare orari della piscina. Informazioni inesistenti.;Reception;Negativo
194;Menu degustazione;Menu degustazione una scoperta. Viaggio di sapori straordinario.;F&B;Positivo
