ID;Titolo;Corpo;Reparto;Sentiment
195;Capelli nel letto;Polvere ovunque e capelli non nostri nelle lenzuola. Disgustoso.;Housekeeping;Negativo
196;Piatti squisiti;Pollo veramente squisito e ben cotto. Ottimi anche gli altri piatti.;F&B;Positivo
197;Extra non dovuti;Al check-out voci non giustificate. Addebiti inventati.;Reception;Negativo
198;Posate sporche;Ho dovuto chiedere di cambiare la forchetta due volte. Sporche.;F&B;Negativo
199;Reception attenta;Reception attenta ma lenta. Lunga coda, un solo addetto.;Reception;Positivo
200;Problemi chiave;La tessera magnetica si smaterializzava ogni giorno. Problemi continui.;Reception;Negativo
201;Camerieri preparati;Camerieri preparati sui vini. Abbinamenti perfetti con i piatti.;F&B;Positivo
202;Carta da parati elegante;Carta da parati elegante e ben tenuta. Ambiente raffinato.;Housekeeping;Positivo
203;Cattivi odori;Bagno puzzava di fogna. Tubature rumorose di notte.;Housekeeping;Negativo
204;Letto sfatto;Rientrati, letto completamente sfatto. Pulizie fatte a metà.;Housekeeping;Negativo
205;Babysitting eccezionale;Servizio di babysitting eccezionale. Ragazza fantastica e paziente.;Reception;Positivo
206;Servizio inesistente;Personale assente all'arrivo. Sgarbato e frettoloso quando comparso.;Reception;Negativo
207;Manutenzione assente;Camera pulita ma mensola rotta e lampadina fulminata non risolte.;Housekeeping;Negativo
208;Pesce freschissimo;Grigliata mista di pesce freschissimo. Cotto alla perfezione.;F&B;Positivo
209;Servizio in camera assente;Accoglienza calorosa ma servizio in camera non funzionato per due giorni.;Reception;Negativo
210;Staffe portasci;Locale sicuro con staffe per sci e bici. Comodissimo.;Reception;Positivo
211;Caffetteria eccellente;Caffè eccellente. Cappuccini ed espresso sempre perfetti.;F&B;Positivo
212;Manutenzione impeccabile;Aria condizionata e acqua calda sempre funzionanti. Silenziosi.;Housekeeping;Positivo
213;Pulizia bagno;Pulizia del bagno più volte al giorno. Sempre perfetto e profumato.;Housekeeping;Positivo
214;Kit per bambini;Kit per bambini con accappatoio, ciabattine e peluche. Felicissimi.;Housekeeping;Positivo
215;Cibo scadente;Dopo cena brufoli e mal di pancia. Pesce non fresco.;F&B;Negativo
216;Lenzuola non cambiate;Lenzuola non cambiate per tutta la settimana. Inaccettabile.;Housekeeping;Negativo
217;Aria viziata;Sala ristorante soffocante. Aria condizionata non funzionava.;F&B;Negativo
218;Wi-Fi mai funzionato;Wi-Fi in camera mai funzionato. Nessuno ha risolto.;Reception;Negativo
219;Cameriere ignora;Ci ha ignorati per dieci minuti, servendo tavoli arrivati dopo. Inaccettabile.;F&B;Negativo
220;Stipiti sporchi;Bagno pulito ma stipiti e battiscopa pieni di polvere.;Housekeeping;Negativo
221;Kit di cortesia;Kit di cortesia con spazzolino e dentifricio. Salvati.;Housekeeping;Positivo
222;Check-in lento;Oltre un'ora di coda per il check-in. Un solo addetto lento.;Reception;Negativo
223;Bagno moderno;Doccia a pioggia fantastica e luci led rilassanti. Bagno moderno.;Housekeeping;Positivo
224;Insalata scaduta;Insalata in barattolo che sapeva di acido. Scaduta.;F&B;Negativo
225;Borsa frigo;Borsa frigo termica per la spiaggia. Idea fantastica e utilissima.;Housekeeping;Positivo
226;Spa curatissima;Spa un'oasi di pace. Sauna e bagno turco alla temperatura ideale.;Housekeeping;Positivo
227;Pesce maleodorante;Pesce crudo sapeva di ammoniaca. Cucina pericolosa.;F&B;Negativo
228;Reception fredda;Sembrava disturbassimo ogni volta che chiedevamo qualcosa. Fredda.;Reception;Negativo
229;Cocktail analcolici;Cocktail analcolici creativi e gustosissimi. Anche per bambini.;F&B;Positivo
230;Noleggio biciclette;Ci hanno organizzato noleggio biciclette. Bici in ottime condizioni.;Reception;Positivo
231;Personale al cellulare;Addetto sempre al telefono personale. Ci liquidava con un gesto.;Reception;Negativo
232;Giardino sporco;Giardino trascurato con erba alta e rifiuti. Brutta impressione.;Housekeeping;Negativo
233;Personale gentilissimo;Personale sempre sorridente, disponibile e professionale. Grazie di cuore.;F&B;Positivo
234;Pulizia eccezionale;Pulizia eccezionale anche nei dettagli nascosti. Professionale.;Housekeeping;Positivo
235;Ombrellone riservato;Ombrellone e lettini riservati in spiaggia. Navetta inclusa.;Reception;Positivo
236;Clima fantastico;Tavoli ben separati e clima rilassante nel ristorante. Ottimo.;F&B;Positivo
237;Check-out rapido;Check-out rapidissimo. Personale efficiente, non abbiamo perso tempo.;Reception;Positivo
238;Valigia danneggiata;Valigia danneggiata dal personale. Si sono rifiutati di risarcire.;Reception;Negativo
239;Mini bar fornito;Mini bar ricco e rifornito ogni giorno. Prezzi onesti.;Housekeeping;Positivo
240;Pulizie tardive;Pulizie sempre dopo le 17. Impossibile riposarsi al pomeriggio.;Housekeeping;Negativo
241;Colazione varia;Molta scelta tra dolce e salato. Tutto fresco.;F&B;Positivo
242;Primo salato;Antipasti buoni ma primo piatto troppo salato. Quasi immangiabile.;F&B;Negativo
243;Bidone puzzolente;Bidone della spazzatura nel corridoio che puzzava. Non svuotato.;Housekeeping;Negativo
244;Nessuno risponde;Telefono alla reception non rispondeva mai. Scesi di persona.;Reception;Negativo
245;Cibo freddo;Caffè annacquato, uova e pancetta fredde. Qualità scadente.;F&B;Negativo
246;Asciugamani ruvidi;Asciugamani ruvidi come carta vetrata. Usurati e logori.;Housekeeping;Negativo
247;Asciugamani non cambiati;Asciugamani non sostituiti per tre giorni. Nonostante cartello.;Housekeeping;Negativo
248;Cuscini scomodi;Letto ok ma cuscini troppo alti e rigidi. Dormito male.;Housekeeping;Negativo
249;Prenotazione errata;Conferma email con date sbagliate. Hanno fatto storie.;Reception;Negativo
250;Menu limitato;Cibo buono ma menu molto limitato. Dopo due sere ripetitivo.;F&B;Negativo
251;Parcheggio professionale;Ragazzo ha portato l'auto in parcheggio. Molto professionale.;Reception;Positivo
252;Posate macchiate;Cibo buono ma posate macchiate. Dovute chiedere altre.;F&B;Negativo
253;Cena a lume di candela;Cena sulla terrazza a lume di candela. Atmosfera magica e romantica.;F&B;Positivo
254;Pavimenti appiccicosi;Pavimento appiccicoso con macchie scure. Impossibile camminare a piedi nudi.;Housekeeping;Negativo
255;Materasso sfondato;Materasso sfondato al centro. Cuscini sottilissimi. Mal di schiena.;Housekeeping;Negativo
256;Mancanza tenda oscurante;Mancava tenda oscurante. Luce già alle 6. Impossibile dormire.;Housekeeping;Negativo
257;Acqua calda assente;Per due giorni niente acqua calda. Nessuno ci aveva informato.;Reception;Negativo
258;Angolo cottura;Suite con angolo cottura attrezzato. Comodità inaspettata.;Housekeeping;Positivo
259;Chef ottimo;Complimenti allo chef. Piatti squisiti, uno più gustoso dell'altro.;F&B;Positivo
260;Cantina vini;Cantina incredibile con vini pregiati. Degustazione guidata dal sommelier.;F&B;Positivo
261;Garage stretto;Garage troppo stretto. Ho rischiato di rigare l'auto.;Reception;Negativo
262;Dispenser vuoti;Camera pulitissima ma dispenser vuoti. Nessun bagnoschiuma.;Housekeeping;Negativo
263;Pizza cruda;Impasto crudo e molliccio al centro, bordi bruciati. Immangiabile.;F&B;Negativo
264;Vetro rotto;C'era una crepa pericolosa nello specchio del bagno.;Housekeeping;Negativo
265;Camera accogliente;Camera molto ordinata e profumata. Complimenti alle pulizie.;Housekeeping;Positivo
266;Informazioni turistiche;Box informazioni molto gentile e disponibile. Ottimo servizio.;Reception;Positivo
267;Kit ricco;Kit di cortesia ricco con molti prodotti omaggio. Gradito.;Housekeeping;Positivo
268;Prodotti di lusso;Sapone e shampoo di marca di lusso. Pelle morbida e idratata.;Housekeeping;Positivo
269;Pacco regalo;Al check-out pacco con prodotti locali. Pensiero graditissimo.;Reception;Positivo
270;Titolare maleducato;Titolare alzava la voce con i camerieri davanti a tutti. Imbarazzante.;F&B;Negativo
271;Check-in caotico;Coda interminabile. Addetto lento e confuso. 40 minuti per la chiave.;Reception;Negativo
272;Gestione pacchi;Hanno accolto e custodito un pacco per noi. Organizzazione eccellente.;Reception;Positivo
273;Palestra pulita;Palestra attrezzata e sempre pulita. Asciugamani freschi a disposizione.;Housekeeping;Positivo
274;Asciugamani vecchi;Letto comodo ma asciugamani logori e macchiati. Poco piacevoli.;Housekeeping;Negativo
275;Buffet dolce;Buffet dolce infinito. Torte fatte in casa spettacolari.;F&B;Positivo
276;Accoglienza in inglese;Personale parla inglese fluentemente. Comunicazione semplice e piacevole.;Reception;Positivo
277;Filetto tenerissimo;Filetto di manzo tenerissimo. Cottura perfetta, riduzione al Barolo divina.;F&B;Positivo
278;Spogliatoi puliti;Spogliatoi piscina sempre in ordine. Teli abbondanti e asciutti.;Housekeeping;Positivo
279;Parcheggio inesistente;Pubblicizzavano parcheggio ma era pieno. Pagato altrove lontano.;Reception;Negativo
280;Lingue straniere;Parlano tedesco e francese perfettamente. Alta professionalità.;Reception;Positivo
281;Check-in online rotto;Sito dell'hotel dava errori. Check-in online non funzionante.;Reception;Negativo
282;Servizio lento;Piatti tipici buoni ma servizio molto lento. Camerieri gentili ma pochi.;F&B;Negativo
283;Atmosfera accogliente;Atmosfera accogliente e profumo di pulito ovunque. Aria di casa.;Reception;Positivo
284;Ferro da stiro;Richiesto ferro da stiro, mai arrivato dopo tre ore. Inefficienti.;Reception;Negativo
285;Zanzare in camera;Mancano zanzariere. Notte d'inferno con le zanzare.;Housekeeping;Negativo
286;Accappatoi morbidi;Accappatoi sofficissimi e ciabatte morbide. Piccoli lussi tessili.;Housekeeping;Positivo
287;Assistenza medica;Reception ha contattato medico per malore. Premurosi e professionali.;Reception;Positivo
288;Navetta gratuita;Navetta gratuita per il centro. Autista puntuale e gentile.;Reception;Positivo
289;Sapone mancante;Dispenser del sapone vuoto. Nessuno mai arrivato a riempirlo.;Housekeeping;Negativo
290;Informazioni errate;Reception poliglotta ma informazioni sugli orari dei bus sbagliate.;Reception;Negativo
291;Attesa eterna;Piatti creativi ma attesa interminabile. Quasi un'ora tra le portate.;F&B;Negativo
292;Limousine;Trasferimento in limousine organizzato. Ingresso trionfale in hotel.;Reception;Positivo
293;Dolci da sogno;Pasticceria interna con dessert pazzeschi. Paradiso per chi ama i dolci.;F&B;Positivo
294;Parcheggio lontano;Parcheggio a un chilometro. Navetta inesistente. Scomodissimo.;Reception;Negativo
295;Prenotazione non valida;Prenotazione online non risultava. Nessuna camera per noi.;Reception;Negativo
296;Cocktail annacquati;Barman simpatico ma cocktail annacquati. Poco alcol.;F&B;Negativo
297;Acqua versata addosso;Cameriere mi ha versato acqua addosso. Non si è scusato. Umiliante.;F&B;Negativo
298;Servizio caotico;Servizio caotico. Camerieri litigavano tra loro in sala.;F&B;Negativo
299;Torta compleanno;Torta personalizzata per il compleanno di mia madre. Meravigliosa.;F&B;Positivo
300;Ascensore guasto;Ascensore guasto per tutto il soggiorno. Quarto piano a piedi.;Reception;Negativo
301;Spettacolo brutto;Spettacolo piano bar stonato e caciarone. Siamo dovuti andare via.;F&B;Negativo
302;Frutta fresca;Cestino di frutta fresca in hall tutto il giorno. Pausa sana.;F&B;Positivo
303;Acqua calda non arriva;Acqua calda non arrivava al mattino. Docce velocissime e spiacevoli.;Housekeeping;Negativo
304;Colazione sempre uguale;Colazione sempre uguale per quattro giorni. Qualità scadente.;F&B;Negativo
305;Nessun contatto emergenza;Notte problema al condizionatore. Reception chiusa, telefono non funzionava.;Reception;Negativo
306;Lavori senza preavviso;Lavori con trapani la mattina presto senza preavviso. Svegliati di soprassalto.;Reception;Negativo
307;Ascensore rotto;Accoglienza ok ma ascensore rotto. Valigie al terzo piano a piedi.;Reception;Negativo
308;Indicazioni confuse;Indicazioni confuse per la camera. Vagato mezz'ora con le valigie.;Reception;Negativo
309;Camera gelida;Camera gelida, termosifoni spenti. Dormito con i cappotti.;Reception;Negativo
310;Bicchieri di plastica;Drink costoso servito in bicchiere di plastica. Poco elegante.;F&B;Negativo
311;Lettini comodissimi;Ombrellone e lettini comodissimi. Stesso posto per tutto il soggiorno.;Reception;Positivo
312;Zona living;Camera con zona living accogliente. Divano e poltrone. Come a casa.;Housekeeping;Positivo
313;Macedonia fresca;Macedonia di frutta freschissima a colazione. Deliziosa.;F&B;Positivo
314;Materasso nuovo;Si dorme divinamente. Sostegno perfetto per la schiena.;Housekeeping;Positivo
315;Odore di muffa;Armadio capiente ma odore strano di muffa. Anta chiusa.;Housekeeping;Negativo
316;Spremuta fresca;Spremuta d'arancia fatta al momento. Gusto intenso e vivo.;F&B;Positivo
317;Ascensore lento;Drink di benvenuto ma ascensore lentissimo. Si fermava ad ogni piano.;Reception;Negativo
318;Cestino picnic;Cestino da picnic preparato su richiesta. Panini gourmet e vino.;F&B;Positivo
319;Attenzione disabili;Grande attenzione ai clienti con disabilità. Mi hanno aiutato in carrozzina.;Reception;Positivo
320;Hotel climatizzato;Nonostante temperature ostili, all'interno si stava benissimo.;Reception;Positivo
321;Cena romantica;Cena di anniversario indimenticabile. Atmosfera intima e raffinata.;F&B;Positivo
322;Angolo caffè 24h;Angolo con caffè e tisane 24 ore su 24. Sempre a disposizione.;F&B;Positivo
323;Moquette macchiata;Moquette in camera non lavata da anni. Macchiata e sporca.;Housekeeping;Negativo
324;Cuscini vecchi;Materasso nuovo ma cuscini vecchi e sfondati. Sottilissimi.;Housekeeping;Negativo
325;Panorama mozzafiato;Vista dal balcone della camera vale tutto il prezzo. Mozzafiato.;Housekeeping;Positivo
326;Tour privato;Tour privato della città con guida locale. Fantastico.;Reception;Positivo
327;Computer rotto;Check-out interminabile per computer bloccato. Mezz'ora di attesa.;Reception;Negativo
328;Servizio in camera;Servizio in camera impeccabile. Cena calda e puntuale.;F&B;Positivo
329;Doppio addebito;Doppio addebito sulla carta per lo stesso soggiorno. Litigato per rimborso.;Reception;Negativo
330;Conto errato;Check-out veloce ma conto errato. Mini bar non utilizzato addebitato.;Reception;Negativo
331;Topper memory;Materasso con topper extra in memory foam. Paradisiaco.;Housekeeping;Positivo
332;Piatto sbagliato;Cameriere ha portato piatto sbagliato. Aria scocciata senza scuse.;F&B;Negativo
333;Dolci tipici;Dolci tipici locali fatti in casa. Seadas e pardulas deliziose.;F&B;Positivo
334;Lampadina rotta;Lampadina del bagno fulminata. Segnalato ma mai sostituita.;Housekeeping;Negativo
335;Un solo addetto;Un solo addetto per troppi clienti al banco. Sempre in attesa.;Reception;Negativo
336;Porzioni minime;Piatti creativi ma porzioni minime. Usciti con fame.;F&B;Negativo
337;Vino torbido;Vino torbido e ossidato. Cameriere ha insistito fosse normale.;F&B;Negativo
338;Parcheggio caro;Parcheggio custodito comodo ma 25 euro al giorno. Caro.;Reception;Negativo
339;Tapparelle rotte;Tapparelle rotte non si alzavano. Vissuto al buio tutto il giorno.;Housekeeping;Negativo
340;Materasso sfondato;Materasso vecchio con molle che si sentivano. Dolori alla schiena.;Housekeeping;Negativo
341;Ottima esperienza;Soggiornare qui è stato veramente un piacere. Ottimo.;Reception;Positivo
342;Asciugamani morbidi;Asciugamani morbidissimi e profumati. Cambiati ogni giorno.;Housekeeping;Positivo
343;Ravioli pazzeschi;Non sono un esperto ma questi ravioli erano davvero squisiti.;F&B;Positivo
344;Bagaglio smarrito;Bagaglio dimenticato in un deposito. Ore perse per ritrovarlo.;Reception;Negativo
345;Climatizzatore rumoroso;Impossibile dormire con quel ronzio costante del climatizzatore.;Housekeeping;Negativo
346;Troppa confusione;L'area comune era sempre caotica e disordinata. Confusione.;Reception;Negativo
347;Personale simpatico;Camerieri simpatici ma disorganizzati. Portavano piatti sbagliati.;F&B;Negativo
348;Manca rampa;Per le persone disabili non è semplice entrare. Manca rampa.;Reception;Negativo
349;Odore di fogna;Zona tranquilla ma odore di fogna in bagno. Persistente.;Housekeeping;Negativo
350;Tessuti di qualità;Tessuti di qualità pregiata. Mantenuti impeccabili.;Housekeeping;Positivo
351;Lenzuola sporche;Lenzuola con macchie gialle sospette. Coperte con buchi.;Housekeeping;Negativo
352;Pizza in piscina;Pizza ai lettini in piscina. Calda e fragrante. Comodissimo.;F&B;Positivo
353;Biancheria mancante;Divano letto senza lenzuola. Un'ora di attesa.;Housekeeping;Negativo
354;Prezzi eccessivi;30 euro per una carbonara mi sembra troppo. Eccessivo.;F&B;Negativo
355;Biscotti umidi;Biscotti umidi, confezioni aperte da giorni. Latte acido.;F&B;Negativo
356;Assistenza ristorante;Ci hanno consigliato ristorante stellato. Prenotato per noi. Indimenticabile.;Reception;Positivo
357;Nessuna istruzione TV;Nessun foglio su come funziona la TV. Dieci minuti per accenderla.;Reception;Negativo
358;Coperte leggere;Materasso ok ma coperte troppo leggere. Avevamo freddo.;Housekeeping;Negativo
359;Doccia intasata;Doccia intasata che allagava il bagno. Asciugamani per tamponare.;Housekeeping;Negativo
360;Porzioni minuscole;Piatti minuscoli a prezzi folli. Usciti affamati.;F&B;Negativo
361;Armadio spazioso;Armadio enorme con tante grucce di legno. Funzionale.;Housekeeping;Positivo
362;Pranzo in ritardo;Pranzo arrivato con oltre un'ora di ritardo. Freddo e scadente.;F&B;Negativo
363;Piatti finiti;Menu limitato, molti piatti finiti subito. Scelto quel che restava.;F&B;Negativo
364;Tutto perfetto;Soggiorno impeccabile e personale gentilissimo. Perfetto.;Reception;Positivo
365;Fiori e torta;Hanno organizzato sorpresa per compleanno. Fiori e torta in camera.;Reception;Positivo
366;Servizio impeccabile;Personale veramente molto gentile. Esperienza piacevolissima.;Reception;Positivo
367;Cuscini puzzolenti;Cuscini con odore acre di sudore e aloni gialli. Schifezza.;Housekeeping;Negativo
368;Doccia sporca;All'interno della doccia erano presenti capelli. Sporca.;Housekeeping;Negativo
369;Vetri puliti;Vetri delle finestre sempre perfettamente puliti. Senza aloni.;Housekeeping;Positivo
370;Coperta offerta;Cameriere ci ha offerto coperta di lana. Gesto di cortesia.;F&B;Positivo
371;Servizio impeccabile;Cameriere perfetto: discreto, attento, professionale. Grazie.;F&B;Positivo
372;Prenotazione errata;Non trovavano la mia stanza al computer. Errore.;Reception;Negativo
373;Vino caldo;Vino rosso servito caldo. Cameriere incompetente.;F&B;Negativo
374;Cibo ottimo;Sia la cena che il pranzo sono stati deliziosi. Ottimo.;F&B;Positivo
375;Cuscini duri;Cuscini troppo duri. Ho avuto mal di collo per tutto il soggiorno.;Housekeeping;Negativo
376;Conto prima di finire;Cameriere ha portato il conto mentre mangiavamo. Scortese.;F&B;Negativo
377;Finestre bloccate;Camera calda ma finestre bloccate. Non si poteva aprire.;Housekeeping;Negativo
378;Mobili vecchi;La mia camera avrebbe bisogno di una ristrutturazione. Vecchi.;Housekeeping;Negativo
379;Ascensore sporco;Ascensore sporco di fango. Scale con mozziconi. Abbandonato.;Housekeeping;Negativo
380;Nessun riscontro;Lamentela per rumore, nessun riscontro. Cambio camera negato.;Reception;Negativo
381;Maniglie rotte;Maniglie armadio rotte e taglienti. Pericoloso per bambini.;Housekeeping;Negativo
382;Pulizia rapida;Team delle pulizie velocissimo e di ottimo livello. Preparati.;Housekeeping;Positivo
383;Secondi mediocri;Primi ottimi ma secondi di carne cotti male e duri.;F&B;Negativo
384;Piatti surgelati;Tutto il cibo sapeva di surgelato. Nulla di fresco.;F&B;Negativo
385;Rumore notturno;Posizione centrale ma rumore dai locali fino alle 3. Non isolato.;Reception;Negativo
386;Check-out tardivo;Hanno accordato check-out tardivo senza problemi. Flessibili.;Reception;Positivo
387;Cena così così;Cena qualità media. Camera rumorosa sulla strada principale.;F&B;Negativo
388;Personale sgarbato;Addetti alle pulizie sgarbati. Mi hanno obbligato ad uscire.;Housekeeping;Negativo
389;Wifi assente;Wifi in camera non funzionava quasi mai. Personale per lo meno era decente.;Reception;Negativo
390;Aria centralizzata;Aria condizionata centralizzata. Impossibile regolare temperatura.;Reception;Negativo
391;Nessuno risponde;Servizio in camera, telefono squilla a vuoto. Nessuno risponde.;Reception;Negativo
392;Rumore alle 7;Martellate dal piano di sopra alle 7 del mattino. Lavori in corso.;Reception;Negativo
393;Pizza bruciata;Pizza bruciata sul bordo, cruda al centro. Immangiabile.;F&B;Negativo
394;Tovaglie sporche;Tovaglia piena di macchie e briciole. Non cambiata.;F&B;Negativo
395;Check-in rapidissimo;Check-in rapidissimo e gentile. Dopo viaggio stancante, perfetto.;Reception;Positivo
396;Sala meeting;Sala meeting spaziosa e luminosa. Attrezzature perfette.;Reception;Positivo
397;Bicchieri design;Bicchieri e stoviglie di design. Eleganti e piacevoli.;F&B;Positivo
398;Doppi vetri;Doppi vetri insonorizzati. Silenzio totale nonostante la strada.;Housekeeping;Positivo
399;Reception amichevole;Ragazzi amichevoli ma attese lunghe. Servirebbe più personale.;Reception;Negativo
400;Quadri bellissimi;Nei corridoi pieno di quadri bellissimi. Arredamento curato.;Housekeeping;Positivo
